slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,5929551.91,5040119.12,6818984.71,medium,Collectable,NEW,Low,0.68,314,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,2026-08-17T22:15:32.242572+00:00,33584,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,medium,Collectable,SS,Stable,1.22,652,community_anchor,https://gpovalues.com/item/prestige-candy-cane,2026-08-17T22:15:32.242572+00:00,33584,prestige candy cane
prestige-world-ender,Prestige World Ender,PWE,2421828.2,2058553.97,2785102.42,medium,Collectable,SS,High,1.9,441,ratio_chain,https://gpovalues.com/item/prestige-world-ender,2026-08-17T22:15:32.242572+00:00,33584,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,1695179.89,1440902.9,1949456.85,medium,Collectable,SS,Low,0.56,584,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,2026-08-17T22:15:32.242572+00:00,33584,prestige firework lancer
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,1615274.57,1372983.4,1857565.75,medium,Collectable,SS,Low,0.78,427,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,2026-08-17T22:15:32.242572+00:00,33584,prestige inferno rocket blade
iceborn-candy-cane,Iceborn Candy Cane,ICC,895616.67,806055.0,985178.34,high,Collectable,S,Stable,1.13,1274,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,2026-08-17T22:15:32.242572+00:00,33584,iceborn candy cane
prestige-fruitbag,Prestige Fruitbag,PBAG,650836.48,585752.84,715920.13,high,Legendary,S,Stable,0.95,1388,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,2026-08-17T22:15:32.242572+00:00,33584,prestige fruitbag
dominus-ultimus,Dominus Ultimus,DU,513792.34,411033.87,616550.81,low,Collectable,S,Low,0.56,137,ratio_chain,https://gpovalues.com/item/dominus-ultimus,2026-08-17T22:15:32.242572+00:00,33584,dominus ultimus
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,591573.95,502837.86,680310.04,medium,Mythical,S,Stable,1.2,854,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,2026-08-17T22:15:32.242572+00:00,33584,chromatic all seeing eye
prestige-firework-daggers,Prestige Firework Daggers,PFD,519131.15,441261.47,597000.82,medium,Collectable,S,Stable,1.15,215,ratio_chain,https://gpovalues.com/item/prestige-firework-daggers,2026-08-17T22:15:32.242572+00:00,33584,prestige firework daggers
candy-cane,Candy Cane,CC,453299.53,407969.59,498629.49,high,Legendary,S,Stable,1.29,1890,ratio_chain,https://gpovalues.com/item/candy-cane,2026-08-17T22:15:32.242572+00:00,33584,candy cane
inferno-rocket-blade,Inferno Rocket Blade,IRB,312428.92,265564.58,359293.26,medium,Legendary,A-,Low,0.36,305,ratio_chain,https://gpovalues.com/item/inferno-rocket-blade,2026-08-17T22:15:32.242572+00:00,33584,inferno rocket blade
blessed-exalted-cupid-queen-outfit,Blessed Exalted Cupid Queen Outfit,BQFIT,363392.86,290714.29,436071.43,low,,A-,Low,0.78,64,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queen-outfit,2026-08-17T22:15:32.242572+00:00,33584,blessed exalted cupid queen outfit
venom,Venom,VENOM,296672.99,267005.69,326340.29,high,Mythical,A-,Low,0.87,1359,ratio_chain,https://gpovalues.com/item/venom,2026-08-17T22:15:32.242572+00:00,33584,venom
mochi,Mochi,MOCHI,294464.28,265017.85,323910.72,high,Mythical,A-,Low,0.78,1978,ratio_chain,https://gpovalues.com/item/mochi,2026-08-17T22:15:32.242572+00:00,33584,mochi
flower-bouquet,Flower Bouquet,FB,270527.57,229948.43,311106.71,medium,Legendary,A+,Low,0.81,715,ratio_chain,https://gpovalues.com/item/flower-bouquet,2026-08-17T22:15:32.242572+00:00,33584,flower bouquet
all-seeing-shamrock,All Seeing Shamrock,SASE,310379.82,279341.84,341417.8,high,Mythical,S,Stable,1.23,1222,ratio_chain,https://gpovalues.com/item/all-seeing-shamrock,2026-08-17T22:15:32.242572+00:00,33584,all seeing shamrock
prestige-firework-rocket-launcher,Prestige Firework Rocket Launcher,PFRL,265476.74,212381.39,318572.08,low,Collectable,S,Low,0.49,121,ratio_chain,https://gpovalues.com/item/prestige-firework-rocket-launcher,2026-08-17T22:15:32.242572+00:00,33584,prestige firework rocket launcher
jesters-outfit,Jester's Outfit,JFIT,227608.98,193467.64,261750.32,medium,Collectable,S,Low,0.46,943,ratio_chain,https://gpovalues.com/item/jesters-outfit,2026-08-17T22:15:32.242572+00:00,33584,jester's outfit
