slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,image_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,4003599.45,3403059.53,4604139.37,medium,Collectable,NEW,Stable,0.97,357,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,https://gpovalues.com/images/Prestige%20Cupid%27s%20Chakram.webp?v=3cc08c66,2026-09-08T05:33:06.112441+00:00,206691,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,high,Collectable,SS,Stable,1.05,1261,community_anchor,https://gpovalues.com/item/prestige-candy-cane,https://gpovalues.com/images/Prestige%20Candy%20Cane.webp?v=fbc35b7c,2026-09-08T05:33:06.112441+00:00,206691,prestige candy cane
prestige-maid-outfit,Prestige Maid Outfit,PMO,1931459.2,1641740.32,2221178.09,medium,,,Stable,0.92,530,ratio_chain,https://gpovalues.com/item/prestige-maid-outfit,,2026-09-08T05:33:06.112441+00:00,206691,prestige maid outfit
prestige-world-ender,Prestige World Ender,PWE,1381401.73,1243261.56,1519541.9,high,Collectable,SS,Stable,1.21,1112,ratio_chain,https://gpovalues.com/item/prestige-world-ender,https://gpovalues.com/images/Prestige%20World%20Ender.webp?v=2db200e6,2026-09-08T05:33:06.112441+00:00,206691,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,1073324.59,965992.13,1180657.05,high,Collectable,SS,Low,0.58,1193,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,https://gpovalues.com/images/Prestige%20Firework%20Lancer.webp?v=5395483d,2026-09-08T05:33:06.112441+00:00,206691,prestige firework lancer
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,909995.03,773495.77,1046494.28,medium,Collectable,SS,Low,0.77,903,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,https://gpovalues.com/images/Prestige%20Inferno%20Rocket%20Blade.webp?v=533d1d27,2026-09-08T05:33:06.112441+00:00,206691,prestige inferno rocket blade
emerald-valkyrie,Emerald Valkyrie,EV,728591.14,582872.91,874309.37,low,Legendary,VERY_UNSTABLE,High,1.73,71,ratio_chain,https://gpovalues.com/item/emerald-valkyrie,,2026-09-08T05:33:06.112441+00:00,206691,emerald valkyrie
iceborn-candy-cane,Iceborn Candy Cane,ICC,680024.86,612022.38,748027.35,high,Collectable,S,High,1.58,2880,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,https://gpovalues.com/images/Iceborn%20Candy%20Cane.webp?v=9f40df54,2026-09-08T05:33:06.112441+00:00,206691,iceborn candy cane
dominus-empyreus,Dominus Empyreus,DE,708006.96,566405.56,849608.34,low,Mythical,VERY_UNSTABLE,Low,0.23,97,ratio_chain,https://gpovalues.com/item/dominus-empyreus,https://gpovalues.com/images/Dominus%20Empyreus.webp?v=5a90ebf8,2026-09-08T05:33:06.112441+00:00,206691,dominus empyreus
anomalized-mega-pow,Anomalized Mega-Pow,AMP,476822.82,405299.39,548346.24,medium,Collectable,S,Low,0.7,409,ratio_chain,https://gpovalues.com/item/anomalized-mega-pow,https://gpovalues.com/images/Anomalized%20Mega-Pow.webp?v=88233787,2026-09-08T05:33:06.112441+00:00,206691,anomalized mega-pow
prestige-fruitbag,Prestige Fruitbag,PBAG,460362.91,414326.62,506399.2,high,Legendary,S,Stable,1.08,3569,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,https://gpovalues.com/images/Prestige%20Fruitbag.webp?v=cbb00f02,2026-09-08T05:33:06.112441+00:00,206691,prestige fruitbag
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,412556.1,371300.49,453811.71,high,Mythical,S,Stable,1.06,2097,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,https://gpovalues.com/images/Chromatic%20All%20Seeing%20Eye.webp?v=d4679684,2026-09-08T05:33:06.112441+00:00,206691,chromatic all seeing eye
prestige-firework-daggers,Prestige Firework Daggers,PFD,361377.48,307170.87,415584.11,medium,Collectable,S,Low,0.64,817,ratio_chain,https://gpovalues.com/item/prestige-firework-daggers,https://gpovalues.com/images/Prestige%20Firework%20Daggers.webp?v=9f55382b,2026-09-08T05:33:06.112441+00:00,206691,prestige firework daggers
candy-cane,Candy Cane,CC,361534.29,325380.86,397687.72,high,Legendary,S,Stable,1.09,5966,ratio_chain,https://gpovalues.com/item/candy-cane,https://gpovalues.com/images/Candy%20Cane.webp?v=b7793557,2026-09-08T05:33:06.112441+00:00,206691,candy cane
leos-inferno-hagoromo,Leo's Inferno Hagoromo,LIH,290434.08,261390.66,319477.48,high,Collectable,S,High,2.45,11138,ratio_chain,https://gpovalues.com/item/leos-inferno-hagoromo,https://gpovalues.com/images/Leo%27s%20Inferno%20Hagoromo.webp?v=1954af42,2026-09-08T05:33:06.112441+00:00,206691,leo's inferno hagoromo
prestige-firework-rocket-launcher,Prestige Firework Rocket Launcher,PFRL,226649.55,192652.12,260646.98,medium,Collectable,S,Low,0.2,890,ratio_chain,https://gpovalues.com/item/prestige-firework-rocket-launcher,https://gpovalues.com/images/Prestige%20Firework%20Rocket%20Launcher.webp?v=738440af,2026-09-08T05:33:06.112441+00:00,206691,prestige firework rocket launcher
all-seeing-shamrock,All Seeing Shamrock,SASE,243659.34,219293.4,268025.28,high,Mythical,S,Stable,0.97,4625,ratio_chain,https://gpovalues.com/item/all-seeing-shamrock,https://gpovalues.com/images/All%20Seeing%20Shamrock.webp?v=853fb850,2026-09-08T05:33:06.112441+00:00,206691,all seeing shamrock
dominus-ultimus,Dominus Ultimus,DU,220189.34,187160.95,253217.75,medium,Collectable,S,Low,0.34,650,ratio_chain,https://gpovalues.com/item/dominus-ultimus,https://gpovalues.com/images/Dominus%20Ultimus.webp?v=5a306dc7,2026-09-08T05:33:06.112441+00:00,206691,dominus ultimus
jesters-outfit,Jester's Outfit,JFIT,197937.76,178143.98,217731.53,high,Collectable,S,Low,0.53,4122,ratio_chain,https://gpovalues.com/item/jesters-outfit,https://gpovalues.com/images/Jester%27s%20Outfit.webp?v=695fdaec,2026-09-08T05:33:06.112441+00:00,206691,jester's outfit
blackvalk,Blackvalk,BLV,164039.75,139433.78,188645.71,medium,Legendary,VERY_UNSTABLE,Low,0.36,533,ratio_chain,https://gpovalues.com/item/blackvalk,https://gpovalues.com/images/Blackvalk.webp?v=0e99c020,2026-09-08T05:33:06.112441+00:00,206691,blackvalk
titan-shifters-aura,Titan Shifter's Aura,TSA,153221.57,137899.4,168543.71,high,Collectable,,Stable,1.25,6071,ratio_chain,https://gpovalues.com/item/titan-shifters-aura,https://gpovalues.com/images/Titan%20Shifter%27s%20Aura.webp?v=babf3c3b,2026-09-08T05:33:06.112441+00:00,206691,titan shifter's aura
blessed-exalted-cupid-queens-wings,Blessed Exalted Cupid Queen's Wings,BWINGS,146140.91,131526.82,160755.0,high,Collectable,S,Low,0.53,1237,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queens-wings,https://gpovalues.com/images/Blessed%20Exalted%20Cupid%20Queen%27s%20Wings.webp?v=2d7d4b54,2026-09-08T05:33:06.112441+00:00,206691,blessed exalted cupid queen's wings
all-seeing-egg,All Seeing Egg,BLOASE,131600.97,118440.87,144761.06,high,Mythical,S,Low,0.55,4377,ratio_chain,https://gpovalues.com/item/all-seeing-egg,https://gpovalues.com/images/All%20Seeing%20Egg.webp?v=945da3ed,2026-09-08T05:33:06.112441+00:00,206691,all seeing egg
all-seeing-blossom,All Seeing Blossom,BLASE,126243.93,113619.54,138868.32,high,Mythical,NEW,Stable,1.45,13328,ratio_chain,https://gpovalues.com/item/all-seeing-blossom,https://gpovalues.com/images/All%20Seeing%20Blossom.webp?v=e8056638,2026-09-08T05:33:06.112441+00:00,206691,all seeing blossom
all-seeing-baal,All Seeing Ba'al,BASE,105993.66,95394.3,116593.02,high,Mythical,S,Low,0.43,7741,ratio_chain,https://gpovalues.com/item/all-seeing-baal,https://gpovalues.com/images/All%20Seeing%20Ba%27al.webp?v=23cb797f,2026-09-08T05:33:06.112441+00:00,206691,all seeing ba'al
