slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,image_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,3556967.58,3023422.44,4090512.72,medium,Collectable,NEW,Low,0.85,229,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,https://gpovalues.com/images/Prestige%20Cupid%27s%20Chakram.webp?v=3cc08c66,2026-09-20T05:32:50.679803+00:00,166580,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,medium,Collectable,SS,Stable,1.29,809,community_anchor,https://gpovalues.com/item/prestige-candy-cane,https://gpovalues.com/images/Prestige%20Candy%20Cane.webp?v=fbc35b7c,2026-09-20T05:32:50.679803+00:00,166580,prestige candy cane
prestige-maid-outfit,Prestige Maid Outfit,PMO,1903749.36,1618186.95,2189311.76,medium,,,Low,0.75,217,ratio_chain,https://gpovalues.com/item/prestige-maid-outfit,,2026-09-20T05:32:50.679803+00:00,166580,prestige maid outfit
prestige-world-ender,Prestige World Ender,PWE,1207493.21,1026369.22,1388617.18,medium,Collectable,SS,Stable,1.33,948,ratio_chain,https://gpovalues.com/item/prestige-world-ender,https://gpovalues.com/images/Prestige%20World%20Ender.webp?v=2db200e6,2026-09-20T05:32:50.679803+00:00,166580,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,846461.94,761815.75,931108.14,high,Collectable,SS,Low,0.57,1064,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,https://gpovalues.com/images/Prestige%20Firework%20Lancer.webp?v=5395483d,2026-09-20T05:32:50.679803+00:00,166580,prestige firework lancer
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,719681.21,647713.08,791649.33,high,Collectable,SS,Low,0.59,1013,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,https://gpovalues.com/images/Prestige%20Inferno%20Rocket%20Blade.webp?v=533d1d27,2026-09-20T05:32:50.679803+00:00,166580,prestige inferno rocket blade
dominus-empyreus,Dominus Empyreus,DE,618961.4,495169.12,742753.68,low,Mythical,VERY_UNSTABLE,Low,0.23,118,ratio_chain,https://gpovalues.com/item/dominus-empyreus,https://gpovalues.com/images/Dominus%20Empyreus.webp?v=5a90ebf8,2026-09-20T05:32:50.679803+00:00,166580,dominus empyreus
iceborn-candy-cane,Iceborn Candy Cane,ICC,584711.63,526240.47,643182.79,high,Collectable,S,High,1.8,2720,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,https://gpovalues.com/images/Iceborn%20Candy%20Cane.webp?v=9f40df54,2026-09-20T05:32:50.679803+00:00,166580,iceborn candy cane
anomalized-mega-pow,Anomalized Mega-Pow,AMP,411088.59,349425.3,472751.87,medium,Collectable,S,Low,0.82,415,ratio_chain,https://gpovalues.com/item/anomalized-mega-pow,https://gpovalues.com/images/Anomalized%20Mega-Pow.webp?v=88233787,2026-09-20T05:32:50.679803+00:00,166580,anomalized mega-pow
prestige-fruitbag,Prestige Fruitbag,PBAG,385589.52,347030.58,424148.48,high,Legendary,S,Stable,1.21,2933,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,https://gpovalues.com/images/Prestige%20Fruitbag.webp?v=cbb00f02,2026-09-20T05:32:50.679803+00:00,166580,prestige fruitbag
emerald-valkyrie,Emerald Valkyrie,EV,373345.53,298676.43,448014.64,low,Legendary,VERY_UNSTABLE,Low,0.09,85,ratio_chain,https://gpovalues.com/item/emerald-valkyrie,https://gpovalues.com/images/Emerald%20Valkyrie.webp?v=798415c3,2026-09-20T05:32:50.679803+00:00,166580,emerald valkyrie
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,344086.1,309677.49,378494.72,high,Mythical,S,Low,0.74,1971,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,https://gpovalues.com/images/Chromatic%20All%20Seeing%20Eye.webp?v=d4679684,2026-09-20T05:32:50.679803+00:00,166580,chromatic all seeing eye
prestige-firework-daggers,Prestige Firework Daggers,PFD,306673.24,260672.25,352674.23,medium,Collectable,S,Low,0.5,695,ratio_chain,https://gpovalues.com/item/prestige-firework-daggers,https://gpovalues.com/images/Prestige%20Firework%20Daggers.webp?v=9f55382b,2026-09-20T05:32:50.679803+00:00,166580,prestige firework daggers
candy-cane,Candy Cane,CC,311692.02,280522.82,342861.23,high,Legendary,S,High,1.52,4201,ratio_chain,https://gpovalues.com/item/candy-cane,https://gpovalues.com/images/Candy%20Cane.webp?v=b7793557,2026-09-20T05:32:50.679803+00:00,166580,candy cane
leos-inferno-hagoromo,Leo's Inferno Hagoromo,LIH,204223.27,183800.94,224645.6,high,Collectable,S,High,1.6,5468,ratio_chain,https://gpovalues.com/item/leos-inferno-hagoromo,https://gpovalues.com/images/Leo%27s%20Inferno%20Hagoromo.webp?v=1954af42,2026-09-20T05:32:50.679803+00:00,166580,leo's inferno hagoromo
all-seeing-shamrock,All Seeing Shamrock,SASE,200123.04,180110.73,220135.34,high,Mythical,S,Stable,1.11,3231,ratio_chain,https://gpovalues.com/item/all-seeing-shamrock,https://gpovalues.com/images/All%20Seeing%20Shamrock.webp?v=853fb850,2026-09-20T05:32:50.679803+00:00,166580,all seeing shamrock
prestige-firework-rocket-launcher,Prestige Firework Rocket Launcher,PFRL,164743.33,140031.84,189454.83,medium,Collectable,S,Low,0.53,686,ratio_chain,https://gpovalues.com/item/prestige-firework-rocket-launcher,https://gpovalues.com/images/Prestige%20Firework%20Rocket%20Launcher.webp?v=738440af,2026-09-20T05:32:50.679803+00:00,166580,prestige firework rocket launcher
dominus-ultimus,Dominus Ultimus,DU,155734.38,132374.22,179094.54,medium,Collectable,S,Low,0.25,513,ratio_chain,https://gpovalues.com/item/dominus-ultimus,https://gpovalues.com/images/Dominus%20Ultimus.webp?v=5a306dc7,2026-09-20T05:32:50.679803+00:00,166580,dominus ultimus
jesters-outfit,Jester's Outfit,JFIT,143019.02,128717.13,157320.93,high,Collectable,S,Low,0.61,3195,ratio_chain,https://gpovalues.com/item/jesters-outfit,https://gpovalues.com/images/Jester%27s%20Outfit.webp?v=695fdaec,2026-09-20T05:32:50.679803+00:00,166580,jester's outfit
blackvalk,Blackvalk,BLV,109026.99,92672.93,125381.02,medium,Legendary,VERY_UNSTABLE,Low,0.42,344,ratio_chain,https://gpovalues.com/item/blackvalk,https://gpovalues.com/images/Blackvalk.webp?v=0e99c020,2026-09-20T05:32:50.679803+00:00,166580,blackvalk
blessed-exalted-cupid-queens-wings,Blessed Exalted Cupid Queen's Wings,BWINGS,108772.2,92456.37,125088.03,medium,Collectable,S,Low,0.52,939,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queens-wings,https://gpovalues.com/images/Blessed%20Exalted%20Cupid%20Queen%27s%20Wings.webp?v=2d7d4b54,2026-09-20T05:32:50.679803+00:00,166580,blessed exalted cupid queen's wings
