slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,3690257.09,3136718.52,4243795.65,medium,Collectable,NEW,Low,0.83,462,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,2026-08-20T22:15:32.728646+00:00,31422,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,medium,Collectable,SS,Stable,1.17,759,community_anchor,https://gpovalues.com/item/prestige-candy-cane,2026-08-20T22:15:32.728646+00:00,31422,prestige candy cane
prestige-world-ender,Prestige World Ender,PWE,2195671.24,1866320.56,2525021.93,medium,Collectable,SS,High,3.17,396,ratio_chain,https://gpovalues.com/item/prestige-world-ender,2026-08-20T22:15:32.728646+00:00,31422,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,1288030.64,1094826.05,1481235.25,medium,Collectable,SS,Low,0.54,806,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,2026-08-20T22:15:32.728646+00:00,31422,prestige firework lancer
dominus-empyreus,Dominus Empyreus,DE,1174198.19,939358.55,1409037.83,low,Mythical,VERY_UNSTABLE,Low,0.19,50,ratio_chain,https://gpovalues.com/item/dominus-empyreus,2026-08-20T22:15:32.728646+00:00,31422,dominus empyreus
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,1210618.71,1029025.9,1392211.52,medium,Collectable,SS,Low,0.66,401,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,2026-08-20T22:15:32.728646+00:00,31422,prestige inferno rocket blade
iceborn-candy-cane,Iceborn Candy Cane,ICC,692493.46,623244.12,761742.81,high,Collectable,S,Stable,0.96,1391,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,2026-08-20T22:15:32.728646+00:00,31422,iceborn candy cane
anomalized-mega-pow,Anomalized Mega-Pow,AMP,539491.26,431593.01,647389.51,low,Collectable,S,Low,0.53,58,ratio_chain,https://gpovalues.com/item/anomalized-mega-pow,2026-08-20T22:15:32.728646+00:00,31422,anomalized mega-pow
prestige-fruitbag,Prestige Fruitbag,PBAG,508001.93,457201.74,558802.13,high,Legendary,S,Stable,1.1,1393,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,2026-08-20T22:15:32.728646+00:00,31422,prestige fruitbag
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,451549.99,383817.49,519282.49,medium,Mythical,S,Stable,1.14,857,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,2026-08-20T22:15:32.728646+00:00,31422,chromatic all seeing eye
candy-cane,Candy Cane,CC,355610.69,320049.62,391171.75,high,Legendary,S,Stable,1.28,1631,ratio_chain,https://gpovalues.com/item/candy-cane,2026-08-20T22:15:32.728646+00:00,31422,candy cane
dominus-ultimus,Dominus Ultimus,DU,290646.68,247049.68,334243.69,medium,Collectable,S,Low,0.11,225,ratio_chain,https://gpovalues.com/item/dominus-ultimus,2026-08-20T22:15:32.728646+00:00,31422,dominus ultimus
prestige-firework-rocket-launcher,Prestige Firework Rocket Launcher,PFRL,262176.07,209740.85,314611.28,low,Collectable,S,Low,0.64,126,ratio_chain,https://gpovalues.com/item/prestige-firework-rocket-launcher,2026-08-20T22:15:32.728646+00:00,31422,prestige firework rocket launcher
all-seeing-shamrock,All Seeing Shamrock,SASE,247070.37,222363.33,271777.41,high,Mythical,S,High,1.52,1143,ratio_chain,https://gpovalues.com/item/all-seeing-shamrock,2026-08-20T22:15:32.728646+00:00,31422,all seeing shamrock
jesters-outfit,Jester's Outfit,JFIT,172905.93,155615.33,190196.52,high,Collectable,S,Low,0.55,1053,ratio_chain,https://gpovalues.com/item/jesters-outfit,2026-08-20T22:15:32.728646+00:00,31422,jester's outfit
titan-shifters-aura,Titan Shifter's Aura,TSA,159890.13,135906.62,183873.65,medium,,,Stable,1.47,621,ratio_chain,https://gpovalues.com/item/titan-shifters-aura,2026-08-20T22:15:32.728646+00:00,31422,titan shifter's aura
