slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,5101778.82,4336512.0,5867045.64,medium,Collectable,NEW,Low,0.6,387,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,2026-08-18T22:15:30.145546+00:00,30382,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,medium,Collectable,SS,Stable,1.09,660,community_anchor,https://gpovalues.com/item/prestige-candy-cane,2026-08-18T22:15:30.145546+00:00,30382,prestige candy cane
prestige-world-ender,Prestige World Ender,PWE,2082335.18,1769984.91,2394685.46,medium,Collectable,SS,High,1.97,428,ratio_chain,https://gpovalues.com/item/prestige-world-ender,2026-08-18T22:15:30.145546+00:00,30382,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,1406709.34,1195702.93,1617715.74,medium,Collectable,SS,Low,0.57,620,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,2026-08-18T22:15:30.145546+00:00,30382,prestige firework lancer
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,1229652.16,1045204.33,1414099.98,medium,Collectable,SS,Low,0.6,374,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,2026-08-18T22:15:30.145546+00:00,30382,prestige inferno rocket blade
iceborn-candy-cane,Iceborn Candy Cane,ICC,739235.96,665312.37,813159.56,high,Collectable,S,Stable,1.3,1244,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,2026-08-18T22:15:30.145546+00:00,30382,iceborn candy cane
prestige-fruitbag,Prestige Fruitbag,PBAG,540183.01,486164.71,594201.31,high,Legendary,S,Stable,1.04,1419,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,2026-08-18T22:15:30.145546+00:00,30382,prestige fruitbag
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,499963.08,424968.62,574957.54,medium,Mythical,S,Stable,1.43,748,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,2026-08-18T22:15:30.145546+00:00,30382,chromatic all seeing eye
prestige-firework-daggers,Prestige Firework Daggers,PFD,359989.02,287991.22,431986.83,low,Collectable,S,Stable,1.07,182,ratio_chain,https://gpovalues.com/item/prestige-firework-daggers,2026-08-18T22:15:30.145546+00:00,30382,prestige firework daggers
candy-cane,Candy Cane,CC,367388.65,330649.78,404127.51,high,Legendary,S,Stable,1.2,1682,ratio_chain,https://gpovalues.com/item/candy-cane,2026-08-18T22:15:30.145546+00:00,30382,candy cane
