slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,image_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,3982350.56,3384997.97,4579703.14,medium,Collectable,NEW,Low,0.84,269,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,https://gpovalues.com/images/Prestige%20Cupid%27s%20Chakram.webp?v=3cc08c66,2026-09-18T05:32:51.895075+00:00,165862,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,medium,Collectable,SS,Stable,1.19,901,community_anchor,https://gpovalues.com/item/prestige-candy-cane,https://gpovalues.com/images/Prestige%20Candy%20Cane.webp?v=fbc35b7c,2026-09-18T05:32:51.895075+00:00,165862,prestige candy cane
prestige-maid-outfit,Prestige Maid Outfit,PMO,1929419.34,1640006.44,2218832.24,medium,,,Stable,0.91,248,ratio_chain,https://gpovalues.com/item/prestige-maid-outfit,,2026-09-18T05:32:51.895075+00:00,165862,prestige maid outfit
prestige-world-ender,Prestige World Ender,PWE,1931785.08,1352249.55,2511320.61,medium,Collectable,SS,Stable,1.4,969,1to1_alignment,https://gpovalues.com/item/prestige-world-ender,https://gpovalues.com/images/Prestige%20World%20Ender.webp?v=2db200e6,2026-09-18T05:32:51.895075+00:00,165862,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,942714.14,848442.71,1036985.54,high,Collectable,SS,Low,0.44,1096,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,https://gpovalues.com/images/Prestige%20Firework%20Lancer.webp?v=5395483d,2026-09-18T05:32:51.895075+00:00,165862,prestige firework lancer
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,775315.54,697783.99,852847.1,high,Collectable,SS,Low,0.49,1150,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,https://gpovalues.com/images/Prestige%20Inferno%20Rocket%20Blade.webp?v=533d1d27,2026-09-18T05:32:51.895075+00:00,165862,prestige inferno rocket blade
iceborn-candy-cane,Iceborn Candy Cane,ICC,672467.87,605221.08,739714.66,high,Collectable,S,High,2.1,2885,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,https://gpovalues.com/images/Iceborn%20Candy%20Cane.webp?v=9f40df54,2026-09-18T05:32:51.895075+00:00,165862,iceborn candy cane
dominus-empyreus,Dominus Empyreus,DE,584853.95,467883.16,701824.74,low,Mythical,VERY_UNSTABLE,Low,0.14,136,ratio_chain,https://gpovalues.com/item/dominus-empyreus,https://gpovalues.com/images/Dominus%20Empyreus.webp?v=5a90ebf8,2026-09-18T05:32:51.895075+00:00,165862,dominus empyreus
emerald-valkyrie,Emerald Valkyrie,EV,429816.4,343853.12,515779.68,low,Legendary,VERY_UNSTABLE,Low,0.08,93,ratio_chain,https://gpovalues.com/item/emerald-valkyrie,https://gpovalues.com/images/Emerald%20Valkyrie.webp?v=798415c3,2026-09-18T05:32:51.895075+00:00,165862,emerald valkyrie
anomalized-mega-pow,Anomalized Mega-Pow,AMP,454698.46,386493.69,522903.23,medium,Collectable,S,Stable,0.97,444,ratio_chain,https://gpovalues.com/item/anomalized-mega-pow,https://gpovalues.com/images/Anomalized%20Mega-Pow.webp?v=88233787,2026-09-18T05:32:51.895075+00:00,165862,anomalized mega-pow
prestige-fruitbag,Prestige Fruitbag,PBAG,427252.23,384527.01,469977.44,high,Legendary,S,Stable,1.23,2936,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,https://gpovalues.com/images/Prestige%20Fruitbag.webp?v=cbb00f02,2026-09-18T05:32:51.895075+00:00,165862,prestige fruitbag
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,379888.6,341899.75,417877.46,high,Mythical,S,Low,0.74,2095,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,https://gpovalues.com/images/Chromatic%20All%20Seeing%20Eye.webp?v=d4679684,2026-09-18T05:32:51.895075+00:00,165862,chromatic all seeing eye
prestige-firework-daggers,Prestige Firework Daggers,PFD,339049.3,288191.9,389906.7,medium,Collectable,S,Low,0.65,762,ratio_chain,https://gpovalues.com/item/prestige-firework-daggers,https://gpovalues.com/images/Prestige%20Firework%20Daggers.webp?v=9f55382b,2026-09-18T05:32:51.895075+00:00,165862,prestige firework daggers
candy-cane,Candy Cane,CC,341408.02,307267.22,375548.84,high,Legendary,S,Stable,1.48,4639,ratio_chain,https://gpovalues.com/item/candy-cane,https://gpovalues.com/images/Candy%20Cane.webp?v=b7793557,2026-09-18T05:32:51.895075+00:00,165862,candy cane
leos-inferno-hagoromo,Leo's Inferno Hagoromo,LIH,217890.33,196101.29,239679.35,high,Collectable,S,High,1.62,5812,ratio_chain,https://gpovalues.com/item/leos-inferno-hagoromo,https://gpovalues.com/images/Leo%27s%20Inferno%20Hagoromo.webp?v=1954af42,2026-09-18T05:32:51.895075+00:00,165862,leo's inferno hagoromo
dominus-ultimus,Dominus Ultimus,DU,176705.49,150199.66,203211.31,medium,Collectable,S,Low,0.22,582,ratio_chain,https://gpovalues.com/item/dominus-ultimus,https://gpovalues.com/images/Dominus%20Ultimus.webp?v=5a306dc7,2026-09-18T05:32:51.895075+00:00,165862,dominus ultimus
all-seeing-shamrock,All Seeing Shamrock,SASE,207550.42,186795.38,228305.46,high,Mythical,S,Stable,1.07,3564,ratio_chain,https://gpovalues.com/item/all-seeing-shamrock,https://gpovalues.com/images/All%20Seeing%20Shamrock.webp?v=853fb850,2026-09-18T05:32:51.895075+00:00,165862,all seeing shamrock
prestige-firework-rocket-launcher,Prestige Firework Rocket Launcher,PFRL,170156.68,144633.17,195680.18,medium,Collectable,S,Low,0.41,688,ratio_chain,https://gpovalues.com/item/prestige-firework-rocket-launcher,https://gpovalues.com/images/Prestige%20Firework%20Rocket%20Launcher.webp?v=738440af,2026-09-18T05:32:51.895075+00:00,165862,prestige firework rocket launcher
jesters-outfit,Jester's Outfit,JFIT,153728.61,138355.75,169101.46,high,Collectable,S,Low,0.68,3484,ratio_chain,https://gpovalues.com/item/jesters-outfit,https://gpovalues.com/images/Jester%27s%20Outfit.webp?v=695fdaec,2026-09-18T05:32:51.895075+00:00,165862,jester's outfit
blackvalk,Blackvalk,BLV,126397.63,107437.98,145357.27,medium,Legendary,VERY_UNSTABLE,Low,0.34,495,ratio_chain,https://gpovalues.com/item/blackvalk,https://gpovalues.com/images/Blackvalk.webp?v=0e99c020,2026-09-18T05:32:51.895075+00:00,165862,blackvalk
titan-shifters-aura,Titan Shifter's Aura,TSA,126954.75,114259.27,139650.22,high,Collectable,,Stable,1.45,3830,ratio_chain,https://gpovalues.com/item/titan-shifters-aura,https://gpovalues.com/images/Titan%20Shifter%27s%20Aura.webp?v=babf3c3b,2026-09-18T05:32:51.895075+00:00,165862,titan shifter's aura
blessed-exalted-cupid-queens-wings,Blessed Exalted Cupid Queen's Wings,BWINGS,117746.17,105971.55,129520.79,high,Collectable,S,Low,0.6,1026,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queens-wings,https://gpovalues.com/images/Blessed%20Exalted%20Cupid%20Queen%27s%20Wings.webp?v=2d7d4b54,2026-09-18T05:32:51.895075+00:00,165862,blessed exalted cupid queen's wings
all-seeing-egg,All Seeing Egg,BLOASE,113127.21,101814.49,124439.93,high,Mythical,S,Low,0.78,3351,ratio_chain,https://gpovalues.com/item/all-seeing-egg,https://gpovalues.com/images/All%20Seeing%20Egg.webp?v=945da3ed,2026-09-18T05:32:51.895075+00:00,165862,all seeing egg
all-seeing-blossom,All Seeing Blossom,BLASE,100761.06,90684.95,110837.16,high,Mythical,NEW,Stable,0.92,10655,ratio_chain,https://gpovalues.com/item/all-seeing-blossom,https://gpovalues.com/images/All%20Seeing%20Blossom.webp?v=e8056638,2026-09-18T05:32:51.895075+00:00,165862,all seeing blossom
all-seeing-baal,All Seeing Ba'al,BASE,86624.47,77962.03,95286.92,high,Mythical,S,Low,0.39,6430,ratio_chain,https://gpovalues.com/item/all-seeing-baal,https://gpovalues.com/images/All%20Seeing%20Ba%27al.webp?v=23cb797f,2026-09-18T05:32:51.895075+00:00,165862,all seeing ba'al
