slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,image_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,3741843.73,3180567.18,4303120.29,medium,Collectable,NEW,Stable,1.11,255,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,https://gpovalues.com/images/Prestige%20Cupid%27s%20Chakram.webp?v=3cc08c66,2026-09-11T05:17:50.299596+00:00,173992,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,high,Collectable,SS,Stable,1.05,1042,community_anchor,https://gpovalues.com/item/prestige-candy-cane,https://gpovalues.com/images/Prestige%20Candy%20Cane.webp?v=fbc35b7c,2026-09-11T05:17:50.299596+00:00,173992,prestige candy cane
prestige-maid-outfit,Prestige Maid Outfit,PMO,2180520.14,1853442.11,2507598.16,medium,,,Low,0.75,354,ratio_chain,https://gpovalues.com/item/prestige-maid-outfit,,2026-09-11T05:17:50.299596+00:00,173992,prestige maid outfit
prestige-world-ender,Prestige World Ender,PWE,2032000.68,1422400.49,2641600.89,medium,Collectable,SS,High,1.68,924,1to1_alignment,https://gpovalues.com/item/prestige-world-ender,https://gpovalues.com/images/Prestige%20World%20Ender.webp?v=2db200e6,2026-09-11T05:17:50.299596+00:00,173992,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,926773.18,787757.19,1065789.15,medium,Collectable,SS,Low,0.59,949,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,https://gpovalues.com/images/Prestige%20Firework%20Lancer.webp?v=5395483d,2026-09-11T05:17:50.299596+00:00,173992,prestige firework lancer
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,823645.75,700098.89,947192.62,medium,Collectable,SS,Low,0.68,926,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,https://gpovalues.com/images/Prestige%20Inferno%20Rocket%20Blade.webp?v=533d1d27,2026-09-11T05:17:50.299596+00:00,173992,prestige inferno rocket blade
emerald-valkyrie,Emerald Valkyrie,EV,606079.22,484863.37,727295.06,low,Legendary,VERY_UNSTABLE,Stable,1.1,65,ratio_chain,https://gpovalues.com/item/emerald-valkyrie,,2026-09-11T05:17:50.299596+00:00,173992,emerald valkyrie
iceborn-candy-cane,Iceborn Candy Cane,ICC,607051.28,546346.16,667756.41,high,Collectable,S,High,1.69,2665,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,https://gpovalues.com/images/Iceborn%20Candy%20Cane.webp?v=9f40df54,2026-09-11T05:17:50.299596+00:00,173992,iceborn candy cane
anomalized-mega-pow,Anomalized Mega-Pow,AMP,424860.22,361131.18,488589.25,medium,Collectable,S,Low,0.48,443,ratio_chain,https://gpovalues.com/item/anomalized-mega-pow,https://gpovalues.com/images/Anomalized%20Mega-Pow.webp?v=88233787,2026-09-11T05:17:50.299596+00:00,173992,anomalized mega-pow
prestige-fruitbag,Prestige Fruitbag,PBAG,424848.37,382363.54,467333.22,high,Legendary,S,Stable,1.12,3334,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,https://gpovalues.com/images/Prestige%20Fruitbag.webp?v=cbb00f02,2026-09-11T05:17:50.299596+00:00,173992,prestige fruitbag
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,371842.64,334658.38,409026.92,high,Mythical,S,Stable,0.96,2077,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,https://gpovalues.com/images/Chromatic%20All%20Seeing%20Eye.webp?v=d4679684,2026-09-11T05:17:50.299596+00:00,173992,chromatic all seeing eye
