slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,image_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,3802439.6,3232073.67,4372805.55,medium,Collectable,NEW,Stable,0.92,271,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,https://gpovalues.com/images/Prestige%20Cupid%27s%20Chakram.webp?v=3cc08c66,2026-09-17T05:28:58.678093+00:00,164519,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,medium,Collectable,SS,Stable,1.08,919,community_anchor,https://gpovalues.com/item/prestige-candy-cane,https://gpovalues.com/images/Prestige%20Candy%20Cane.webp?v=fbc35b7c,2026-09-17T05:28:58.678093+00:00,164519,prestige candy cane
prestige-world-ender,Prestige World Ender,PWE,1903466.57,1332426.6,2474506.54,medium,Collectable,SS,Stable,1.47,985,1to1_alignment,https://gpovalues.com/item/prestige-world-ender,https://gpovalues.com/images/Prestige%20World%20Ender.webp?v=2db200e6,2026-09-17T05:28:58.678093+00:00,164519,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,950853.07,855767.77,1045938.39,high,Collectable,SS,Low,0.43,1086,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,https://gpovalues.com/images/Prestige%20Firework%20Lancer.webp?v=5395483d,2026-09-17T05:28:58.678093+00:00,164519,prestige firework lancer
prestige-maid-outfit,Prestige Maid Outfit,PMO,2207096.57,1544967.6,2869225.55,medium,,,Low,0.75,220,1to1_alignment,https://gpovalues.com/item/prestige-maid-outfit,,2026-09-17T05:28:58.678093+00:00,164519,prestige maid outfit
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,787682.43,708914.18,866450.66,high,Collectable,SS,Low,0.54,1130,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,https://gpovalues.com/images/Prestige%20Inferno%20Rocket%20Blade.webp?v=533d1d27,2026-09-17T05:28:58.678093+00:00,164519,prestige inferno rocket blade
iceborn-candy-cane,Iceborn Candy Cane,ICC,651282.11,586153.9,716410.33,high,Collectable,S,High,2.2,2925,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,https://gpovalues.com/images/Iceborn%20Candy%20Cane.webp?v=9f40df54,2026-09-17T05:28:58.678093+00:00,164519,iceborn candy cane
anomalized-mega-pow,Anomalized Mega-Pow,AMP,438231.06,372496.4,503965.72,medium,Collectable,S,Low,0.67,471,ratio_chain,https://gpovalues.com/item/anomalized-mega-pow,https://gpovalues.com/images/Anomalized%20Mega-Pow.webp?v=88233787,2026-09-17T05:28:58.678093+00:00,164519,anomalized mega-pow
emerald-valkyrie,Emerald Valkyrie,EV,421987.15,337589.72,506384.58,low,Legendary,VERY_UNSTABLE,Low,0.14,83,ratio_chain,https://gpovalues.com/item/emerald-valkyrie,https://gpovalues.com/images/Emerald%20Valkyrie.webp?v=798415c3,2026-09-17T05:28:58.678093+00:00,164519,emerald valkyrie
prestige-fruitbag,Prestige Fruitbag,PBAG,426130.41,383517.37,468743.44,high,Legendary,S,Stable,1.29,2957,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,https://gpovalues.com/images/Prestige%20Fruitbag.webp?v=cbb00f02,2026-09-17T05:28:58.678093+00:00,164519,prestige fruitbag
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,376605.91,338945.32,414266.51,high,Mythical,S,Low,0.73,2040,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,https://gpovalues.com/images/Chromatic%20All%20Seeing%20Eye.webp?v=d4679684,2026-09-17T05:28:58.678093+00:00,164519,chromatic all seeing eye
candy-cane,Candy Cane,CC,333226.54,299903.89,366549.2,high,Legendary,S,Stable,1.34,4577,ratio_chain,https://gpovalues.com/item/candy-cane,https://gpovalues.com/images/Candy%20Cane.webp?v=b7793557,2026-09-17T05:28:58.678093+00:00,164519,candy cane
prestige-firework-daggers,Prestige Firework Daggers,PFD,330798.0,281178.29,380417.69,medium,Collectable,S,Low,0.62,792,ratio_chain,https://gpovalues.com/item/prestige-firework-daggers,https://gpovalues.com/images/Prestige%20Firework%20Daggers.webp?v=9f55382b,2026-09-17T05:28:58.678093+00:00,164519,prestige firework daggers
leos-inferno-hagoromo,Leo's Inferno Hagoromo,LIH,224626.57,202163.92,247089.23,high,Collectable,S,High,1.55,5927,ratio_chain,https://gpovalues.com/item/leos-inferno-hagoromo,https://gpovalues.com/images/Leo%27s%20Inferno%20Hagoromo.webp?v=1954af42,2026-09-17T05:28:58.678093+00:00,164519,leo's inferno hagoromo
blackvalk,Blackvalk,BLV,172228.29,146394.05,198062.53,medium,Legendary,VERY_UNSTABLE,Low,0.35,487,ratio_chain,https://gpovalues.com/item/blackvalk,https://gpovalues.com/images/Blackvalk.webp?v=0e99c020,2026-09-17T05:28:58.678093+00:00,164519,blackvalk
all-seeing-shamrock,All Seeing Shamrock,SASE,210693.1,189623.78,231762.41,high,Mythical,S,Stable,1.04,3610,ratio_chain,https://gpovalues.com/item/all-seeing-shamrock,https://gpovalues.com/images/All%20Seeing%20Shamrock.webp?v=853fb850,2026-09-17T05:28:58.678093+00:00,164519,all seeing shamrock
dominus-ultimus,Dominus Ultimus,DU,190768.61,162153.33,219383.91,medium,Collectable,S,Low,0.24,543,ratio_chain,https://gpovalues.com/item/dominus-ultimus,https://gpovalues.com/images/Dominus%20Ultimus.webp?v=5a306dc7,2026-09-17T05:28:58.678093+00:00,164519,dominus ultimus
prestige-firework-rocket-launcher,Prestige Firework Rocket Launcher,PFRL,171988.88,146190.55,197787.22,medium,Collectable,S,Low,0.39,588,ratio_chain,https://gpovalues.com/item/prestige-firework-rocket-launcher,https://gpovalues.com/images/Prestige%20Firework%20Rocket%20Launcher.webp?v=738440af,2026-09-17T05:28:58.678093+00:00,164519,prestige firework rocket launcher
jesters-outfit,Jester's Outfit,JFIT,157866.67,142080.01,173653.34,high,Collectable,S,Low,0.69,3418,ratio_chain,https://gpovalues.com/item/jesters-outfit,https://gpovalues.com/images/Jester%27s%20Outfit.webp?v=695fdaec,2026-09-17T05:28:58.678093+00:00,164519,jester's outfit
blessed-exalted-cupid-queens-wings,Blessed Exalted Cupid Queen's Wings,BWINGS,116896.73,105207.05,128586.39,high,Collectable,S,Low,0.58,1111,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queens-wings,https://gpovalues.com/images/Blessed%20Exalted%20Cupid%20Queen%27s%20Wings.webp?v=2d7d4b54,2026-09-17T05:28:58.678093+00:00,164519,blessed exalted cupid queen's wings
titan-shifters-aura,Titan Shifter's Aura,TSA,125318.88,112786.99,137850.77,high,Collectable,,Stable,1.45,4305,ratio_chain,https://gpovalues.com/item/titan-shifters-aura,https://gpovalues.com/images/Titan%20Shifter%27s%20Aura.webp?v=babf3c3b,2026-09-17T05:28:58.678093+00:00,164519,titan shifter's aura
all-seeing-egg,All Seeing Egg,BLOASE,112266.59,101039.93,123493.25,high,Mythical,S,Low,0.8,3508,ratio_chain,https://gpovalues.com/item/all-seeing-egg,https://gpovalues.com/images/All%20Seeing%20Egg.webp?v=945da3ed,2026-09-17T05:28:58.678093+00:00,164519,all seeing egg
