slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,4569656.44,3655725.15,5483587.73,low,Collectable,NEW,Stable,1.03,158,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,2026-08-15T18:37:19.409767+00:00,28996,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,medium,Collectable,SS,Low,0.82,454,community_anchor,https://gpovalues.com/item/prestige-candy-cane,2026-08-15T18:37:19.409767+00:00,28996,prestige candy cane
prestige-world-ender,Prestige World Ender,PWE,2412830.17,2050905.66,2774754.7,medium,Collectable,SS,High,3.6,442,ratio_chain,https://gpovalues.com/item/prestige-world-ender,2026-08-15T18:37:19.409767+00:00,28996,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,1515489.95,1288166.45,1742813.43,medium,Collectable,SS,Low,0.37,393,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,2026-08-15T18:37:19.409767+00:00,28996,prestige firework lancer
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,1619048.43,1376191.17,1861905.69,medium,Collectable,SS,Stable,1.46,482,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,2026-08-15T18:37:19.409767+00:00,28996,prestige inferno rocket blade
iceborn-candy-cane,Iceborn Candy Cane,ICC,955476.6,859928.94,1051024.25,high,Collectable,S,Low,0.67,1535,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,2026-08-15T18:37:19.409767+00:00,28996,iceborn candy cane
prestige-fruitbag,Prestige Fruitbag,PBAG,503847.51,453462.76,554232.27,high,Legendary,S,High,1.53,1383,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,2026-08-15T18:37:19.409767+00:00,28996,prestige fruitbag
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,477861.72,406182.47,549540.98,medium,Mythical,S,High,2.24,824,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,2026-08-15T18:37:19.409767+00:00,28996,chromatic all seeing eye
prestige-firework-daggers,Prestige Firework Daggers,PFD,341172.68,289996.78,392348.58,medium,Collectable,S,Low,0.83,361,ratio_chain,https://gpovalues.com/item/prestige-firework-daggers,2026-08-15T18:37:19.409767+00:00,28996,prestige firework daggers
candy-cane,Candy Cane,CC,334225.73,300803.16,367648.3,high,Legendary,S,Stable,1.45,2041,ratio_chain,https://gpovalues.com/item/candy-cane,2026-08-15T18:37:19.409767+00:00,28996,candy cane
all-seeing-shamrock,All Seeing Shamrock,SASE,221294.49,199165.04,243423.94,high,Mythical,S,Stable,1.48,1144,ratio_chain,https://gpovalues.com/item/all-seeing-shamrock,2026-08-15T18:37:19.409767+00:00,28996,all seeing shamrock
prestige-firework-rocket-launcher,Prestige Firework Rocket Launcher,PFRL,232389.1,185911.28,278866.92,low,Collectable,S,Low,0.32,137,ratio_chain,https://gpovalues.com/item/prestige-firework-rocket-launcher,2026-08-15T18:37:19.409767+00:00,28996,prestige firework rocket launcher
jesters-outfit,Jester's Outfit,JFIT,176922.25,150383.92,203460.61,medium,Collectable,S,Low,0.61,992,ratio_chain,https://gpovalues.com/item/jesters-outfit,2026-08-15T18:37:19.409767+00:00,28996,jester's outfit
titan-shifters-aura,Titan Shifter's Aura,TSA,159596.77,135657.25,183536.29,medium,,,Stable,1.35,576,ratio_chain,https://gpovalues.com/item/titan-shifters-aura,2026-08-15T18:37:19.409767+00:00,28996,titan shifter's aura
blessed-exalted-cupid-queens-wings,Blessed Exalted Cupid Queen's Wings,BWINGS,126765.52,107750.7,145780.35,medium,Collectable,S,Low,0.19,207,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queens-wings,2026-08-15T18:37:19.409767+00:00,28996,blessed exalted cupid queen's wings
all-seeing-egg,All Seeing Egg,BLOASE,113636.74,102273.07,125000.42,high,Mythical,S,Stable,0.97,1061,ratio_chain,https://gpovalues.com/item/all-seeing-egg,2026-08-15T18:37:19.409767+00:00,28996,all seeing egg
all-seeing-baal,All Seeing Ba'al,BASE,97956.91,88161.21,107752.59,high,Mythical,S,Stable,1.03,1699,ratio_chain,https://gpovalues.com/item/all-seeing-baal,2026-08-15T18:37:19.409767+00:00,28996,all seeing ba'al
leos-inferno-hagoromo,Leo's Inferno Hagoromo,LIH,89125.86,80213.27,98038.44,high,Collectable,S,Low,0.66,1525,ratio_chain,https://gpovalues.com/item/leos-inferno-hagoromo,2026-08-15T18:37:19.409767+00:00,28996,leo's inferno hagoromo
yukio-the-bunny,Yukio The Bunny,YB,84842.24,72115.91,97568.58,medium,Legendary,S,Low,0.46,514,ratio_chain,https://gpovalues.com/item/yukio-the-bunny,2026-08-15T18:37:19.409767+00:00,28996,yukio the bunny
all-seeing-holly,All Seeing Holly,HASE,76829.75,69146.78,84512.73,high,Mythical,S,Low,0.65,1648,ratio_chain,https://gpovalues.com/item/all-seeing-holly,2026-08-15T18:37:19.409767+00:00,28996,all seeing holly
soul-kings-scarf,Soul King's Scarf,SKS,88624.02,75330.41,101917.62,medium,Collectable,A+,Stable,1.18,837,ratio_chain,https://gpovalues.com/item/soul-kings-scarf,2026-08-15T18:37:19.409767+00:00,28996,soul king's scarf
cupids-all-seeing-eye,Cupid's All Seeing Eye,CQASE,73970.28,66573.26,81367.31,high,Mythical,S,Low,0.44,2224,ratio_chain,https://gpovalues.com/item/cupids-all-seeing-eye,2026-08-15T18:37:19.409767+00:00,28996,cupid's all seeing eye
all-seeing-eye,All Seeing Eye,ASE,74036.15,66632.53,81439.75,high,Mythical,A+,High,2.11,2915,ratio_chain,https://gpovalues.com/item/all-seeing-eye,2026-08-15T18:37:19.409767+00:00,28996,all seeing eye
bunyo-the-bunny,Bunyo The Bunny,BB,50446.54,42879.56,58013.52,medium,Legendary,A+,Low,0.8,479,ratio_chain,https://gpovalues.com/item/bunyo-the-bunny,2026-08-15T18:37:19.409767+00:00,28996,bunyo the bunny
flower-bouquet,Flower Bouquet,FB,43834.85,37259.62,50410.09,medium,Legendary,A+,Low,0.39,851,ratio_chain,https://gpovalues.com/item/flower-bouquet,2026-08-15T18:37:19.409767+00:00,28996,flower bouquet
