slug,name,shortcut,value,ci_low,ci_high,confidence,rarity,tier,demand,demand_ratio,trade_count,derivation,share_url,image_url,generated_at,n_trades_used,join_key
prestige-cupids-chakram,Prestige Cupid's Chakram,PCHAK,3827876.67,3253695.16,4402058.16,medium,Collectable,NEW,Low,0.89,225,ratio_chain,https://gpovalues.com/item/prestige-cupids-chakram,https://gpovalues.com/images/Prestige%20Cupid%27s%20Chakram.webp,2026-08-31T22:15:30.486649+00:00,49202,prestige cupid's chakram
prestige-candy-cane,Prestige Candy Cane,PCC,3000000.0,2700000.0,3300000.0,medium,Collectable,SS,Low,0.56,585,community_anchor,https://gpovalues.com/item/prestige-candy-cane,https://gpovalues.com/images/Prestige%20Candy%20Cane.webp,2026-08-31T22:15:30.486649+00:00,49202,prestige candy cane
prestige-world-ender,Prestige World Ender,PWE,1475300.86,1254005.73,1696595.99,medium,Collectable,SS,High,2.12,562,ratio_chain,https://gpovalues.com/item/prestige-world-ender,https://gpovalues.com/images/Prestige%20World%20Ender.webp,2026-08-31T22:15:30.486649+00:00,49202,prestige world ender
prestige-firework-lancer,Prestige Firework Lancer,PFL,1019571.54,866635.81,1172507.27,medium,Collectable,SS,Low,0.61,916,ratio_chain,https://gpovalues.com/item/prestige-firework-lancer,https://gpovalues.com/images/Prestige%20Firework%20Lancer.webp,2026-08-31T22:15:30.486649+00:00,49202,prestige firework lancer
prestige-inferno-rocket-blade,Prestige Inferno Rocket Blade,PIRB,849667.39,722217.27,977117.49,medium,Collectable,SS,Low,0.66,547,ratio_chain,https://gpovalues.com/item/prestige-inferno-rocket-blade,https://gpovalues.com/images/Prestige%20Inferno%20Rocket%20Blade.webp,2026-08-31T22:15:30.486649+00:00,49202,prestige inferno rocket blade
iceborn-candy-cane,Iceborn Candy Cane,ICC,606446.57,545801.91,667091.22,high,Collectable,S,High,1.59,1285,ratio_chain,https://gpovalues.com/item/iceborn-candy-cane,https://gpovalues.com/images/Iceborn%20Candy%20Cane.webp,2026-08-31T22:15:30.486649+00:00,49202,iceborn candy cane
prestige-fruitbag,Prestige Fruitbag,PBAG,414693.89,373224.51,456163.28,high,Legendary,S,Stable,1.29,1563,ratio_chain,https://gpovalues.com/item/prestige-fruitbag,https://gpovalues.com/images/Prestige%20Fruitbag.webp,2026-08-31T22:15:30.486649+00:00,49202,prestige fruitbag
chromatic-all-seeing-eye,Chromatic All Seeing Eye,CASE,369092.59,313728.71,424456.48,medium,Mythical,S,Stable,1.24,800,ratio_chain,https://gpovalues.com/item/chromatic-all-seeing-eye,https://gpovalues.com/images/Chromatic%20All%20Seeing%20Eye.webp,2026-08-31T22:15:30.486649+00:00,49202,chromatic all seeing eye
prestige-firework-daggers,Prestige Firework Daggers,PFD,295798.34,251428.59,340168.09,medium,Collectable,S,Low,0.33,341,ratio_chain,https://gpovalues.com/item/prestige-firework-daggers,https://gpovalues.com/images/Prestige%20Firework%20Daggers.webp,2026-08-31T22:15:30.486649+00:00,49202,prestige firework daggers
candy-cane,Candy Cane,CC,299199.56,269279.61,329119.52,high,Legendary,S,Stable,1.0,1737,ratio_chain,https://gpovalues.com/item/candy-cane,https://gpovalues.com/images/Candy%20Cane.webp,2026-08-31T22:15:30.486649+00:00,49202,candy cane
dominus-ultimus,Dominus Ultimus,DU,188909.29,160572.89,217245.69,medium,Collectable,S,Low,0.18,244,ratio_chain,https://gpovalues.com/item/dominus-ultimus,https://gpovalues.com/images/Dominus%20Ultimus.webp,2026-08-31T22:15:30.486649+00:00,49202,dominus ultimus
all-seeing-shamrock,All Seeing Shamrock,SASE,206037.2,185433.48,226640.92,high,Mythical,S,High,1.83,1631,ratio_chain,https://gpovalues.com/item/all-seeing-shamrock,https://gpovalues.com/images/All%20Seeing%20Shamrock.webp,2026-08-31T22:15:30.486649+00:00,49202,all seeing shamrock
prestige-firework-rocket-launcher,Prestige Firework Rocket Launcher,PFRL,153255.63,130267.29,176243.98,medium,Collectable,S,Low,0.17,232,ratio_chain,https://gpovalues.com/item/prestige-firework-rocket-launcher,https://gpovalues.com/images/Prestige%20Firework%20Rocket%20Launcher.webp,2026-08-31T22:15:30.486649+00:00,49202,prestige firework rocket launcher
jesters-outfit,Jester's Outfit,JFIT,156119.14,140507.24,171731.05,high,Collectable,S,Low,0.66,1253,ratio_chain,https://gpovalues.com/item/jesters-outfit,https://gpovalues.com/images/Jester%27s%20Outfit.webp,2026-08-31T22:15:30.486649+00:00,49202,jester's outfit
titan-shifters-aura,Titan Shifter's Aura,TSA,146994.51,132295.06,161693.96,high,,,Stable,0.92,1432,ratio_chain,https://gpovalues.com/item/titan-shifters-aura,https://gpovalues.com/images/Titan%20Shifter%27s%20Aura.webp,2026-08-31T22:15:30.486649+00:00,49202,titan shifter's aura
blessed-exalted-cupid-queens-wings,Blessed Exalted Cupid Queen's Wings,BWINGS,123066.04,104606.13,141525.93,medium,Collectable,S,Low,0.35,566,ratio_chain,https://gpovalues.com/item/blessed-exalted-cupid-queens-wings,https://gpovalues.com/images/Blessed%20Exalted%20Cupid%20Queen%27s%20Wings.webp,2026-08-31T22:15:30.486649+00:00,49202,blessed exalted cupid queen's wings
leos-inferno-hagoromo,Leo's Inferno Hagoromo,LIH,124226.13,111803.52,136648.74,high,Collectable,S,High,2.89,3431,ratio_chain,https://gpovalues.com/item/leos-inferno-hagoromo,https://gpovalues.com/images/Leo%27s%20Inferno%20Hagoromo.webp,2026-08-31T22:15:30.486649+00:00,49202,leo's inferno hagoromo
blackvalk,Blackvalk,BLV,121542.23,97233.79,145850.68,low,Legendary,VERY_UNSTABLE,Low,0.22,138,ratio_chain,https://gpovalues.com/item/blackvalk,https://gpovalues.com/images/Blackvalk.webp,2026-08-31T22:15:30.486649+00:00,49202,blackvalk
all-seeing-egg,All Seeing Egg,BLOASE,110302.16,99271.94,121332.37,high,Mythical,S,Low,0.66,1077,ratio_chain,https://gpovalues.com/item/all-seeing-egg,https://gpovalues.com/images/All%20Seeing%20Egg.webp,2026-08-31T22:15:30.486649+00:00,49202,all seeing egg
all-seeing-baal,All Seeing Ba'al,BASE,85806.61,77225.95,94387.28,high,Mythical,S,Low,0.85,1958,ratio_chain,https://gpovalues.com/item/all-seeing-baal,https://gpovalues.com/images/All%20Seeing%20Ba%27al.webp,2026-08-31T22:15:30.486649+00:00,49202,all seeing ba'al
yukio-the-bunny,Yukio The Bunny,YB,71179.6,60502.65,81856.54,medium,Legendary,S,Low,0.24,676,ratio_chain,https://gpovalues.com/item/yukio-the-bunny,https://gpovalues.com/images/Yukio%20The%20Bunny.webp,2026-08-31T22:15:30.486649+00:00,49202,yukio the bunny
soul-kings-scarf,Soul King's Scarf,SKS,76968.22,69271.4,84665.05,high,Collectable,A+,Low,0.74,1129,ratio_chain,https://gpovalues.com/item/soul-kings-scarf,https://gpovalues.com/images/Soul%20King%27s%20Scarf.webp,2026-08-31T22:15:30.486649+00:00,49202,soul king's scarf
all-seeing-holly,All Seeing Holly,HASE,72758.4,65482.57,80034.25,high,Mythical,S,Low,0.67,2042,ratio_chain,https://gpovalues.com/item/all-seeing-holly,https://gpovalues.com/images/All%20Seeing%20Holly.webp,2026-08-31T22:15:30.486649+00:00,49202,all seeing holly
cupids-all-seeing-eye,Cupid's All Seeing Eye,CQASE,76188.49,68569.64,83807.34,high,Mythical,S,Stable,0.96,1954,ratio_chain,https://gpovalues.com/item/cupids-all-seeing-eye,https://gpovalues.com/images/Cupid%27s%20All%20Seeing%20Eye.webp,2026-08-31T22:15:30.486649+00:00,49202,cupid's all seeing eye
all-seeing-eye,All Seeing Eye,ASE,68011.07,61209.96,74812.18,high,Mythical,A+,High,3.22,4121,ratio_chain,https://gpovalues.com/item/all-seeing-eye,https://gpovalues.com/images/All%20Seeing%20Eye.webp,2026-08-31T22:15:30.486649+00:00,49202,all seeing eye
bunyo-the-bunny,Bunyo The Bunny,BB,46935.68,39895.32,53976.04,medium,Legendary,A+,Low,0.45,815,ratio_chain,https://gpovalues.com/item/bunyo-the-bunny,https://gpovalues.com/images/Bunyo%20The%20Bunny.webp,2026-08-31T22:15:30.486649+00:00,49202,bunyo the bunny
leopard,Leopard,LEO,48002.94,38402.35,57603.53,low,Mythical,NEW,High,2.74,101,ratio_chain,https://gpovalues.com/item/leopard,https://gpovalues.com/images/Leopard.webp,2026-08-31T22:15:30.486649+00:00,49202,leopard
world-ender,World Ender,WE,46156.48,41540.83,50772.13,high,Legendary,A+,Stable,1.05,1522,ratio_chain,https://gpovalues.com/item/world-ender,https://gpovalues.com/images/World%20Ender.webp,2026-08-31T22:15:30.486649+00:00,49202,world ender
flower-bouquet,Flower Bouquet,FB,47181.83,40104.56,54259.1,medium,Legendary,A+,Low,0.68,901,ratio_chain,https://gpovalues.com/item/flower-bouquet,https://gpovalues.com/images/Flower%20Bouquet.webp,2026-08-31T22:15:30.486649+00:00,49202,flower bouquet
snowcap-scepter,Snowcap Scepter,SCEP,35664.81,28531.85,42797.77,low,Legendary,A+,Low,0.38,187,ratio_chain,https://gpovalues.com/item/snowcap-scepter,https://gpovalues.com/images/Snowcap%20Scepter.webp,2026-08-31T22:15:30.486649+00:00,49202,snowcap scepter
